observation_date,Market Expectations,Consumer Expectations,DIFF
9/1/12,2.72,3.3,0.58
10/1/12,2.82,3.1,0.28
11/1/12,2.79,3.1,0.31
12/1/12,2.86,3.2,0.34
1/1/13,2.84,3.3,0.46
2/1/13,2.86,3.3,0.44
3/1/13,2.85,3.2,0.35
4/1/13,2.73,3.1,0.37
5/1/13,2.6,3.1,0.5
6/1/13,2.31,3,0.69
7/1/13,2.39,3.1,0.71
8/1/13,2.53,3,0.47
9/1/13,2.53,3.3,0.77
10/1/13,2.6,3,0.4
11/1/13,2.59,2.9,0.31
12/1/13,2.65,3,0.35
1/1/14,2.72,3.1,0.38
2/1/14,2.54,3.2,0.66
3/1/14,2.54,3.2,0.66
4/1/14,2.53,3.2,0.67
5/1/14,2.45,3.3,0.85
6/1/14,2.49,3.1,0.61
7/1/14,2.55,3.3,0.75
8/1/14,2.56,3.2,0.64
9/1/14,2.47,3,0.53
10/1/14,2.35,2.9,0.55
11/1/14,2.28,2.8,0.52
12/1/14,2.13,2.8,0.67
1/1/15,2.02,2.5,0.48
2/1/15,2.08,2.8,0.72
3/1/15,2.04,3,0.96
4/1/15,2.11,2.6,0.49
5/1/15,2.1,2.8,0.7
6/1/15,2.09,2.7,0.61
7/1/15,2.15,2.8,0.65
8/1/15,1.99,2.8,0.81
9/1/15,1.88,2.8,0.92
10/1/15,1.82,2.7,0.88
11/1/15,1.87,2.7,0.83
12/1/15,1.78,2.6,0.82
1/1/16,1.65,2.5,0.85
2/1/16,1.54,2.5,0.96
3/1/16,1.69,2.7,1.01
4/1/16,1.76,2.8,1.04
5/1/16,1.68,2.4,0.72
6/1/16,1.5,2.6,1.1
7/1/16,1.53,2.7,1.17
8/1/16,1.64,2.5,0.86
9/1/16,1.67,2.4,0.73
10/1/16,1.79,2.4,0.61
11/1/16,1.97,2.4,0.43
